,BTC_close
2016-01-01,433.99
2016-01-02,433.72
2016-01-03,430.7
2016-01-04,433.32
2016-01-05,431.2
2016-01-06,430.82
2016-01-07,457.05
2016-01-08,452.87
2016-01-09,448.31
2016-01-10,446.19
2016-01-11,447.72
2016-01-12,445.04
2016-01-13,432.18
2016-01-14,429.13
2016-01-15,372.26
2016-01-16,385.04
2016-01-17,382.47
2016-01-18,384.4
2016-01-19,379.46
2016-01-20,414.58
2016-01-21,410.24
2016-01-22,382.65
2016-01-23,388.61
2016-01-24,402.13
2016-01-25,392.76
2016-01-26,389.78
2016-01-27,395.02
2016-01-28,379.69
2016-01-29,380.29
2016-01-30,377.76
2016-01-31,369.84
2016-02-01,372.18
2016-02-02,373.92
2016-02-03,368.02
2016-02-04,390.65
2016-02-05,386.46
2016-02-06,376.68
2016-02-07,377.94
2016-02-08,372.63
2016-02-09,375.32
2016-02-10,381.88
2016-02-11,379.45
2016-02-12,384.04
2016-02-13,390.1
2016-02-14,405.5
2016-02-15,401.07
2016-02-16,406.42
2016-02-17,417.14
2016-02-18,421.4
2016-02-19,419.98
2016-02-20,440.06
2016-02-21,437.87
2016-02-22,437.79
2016-02-23,419.9
2016-02-24,422.72
2016-02-25,423.48
2016-02-26,427.32
2016-02-27,431.3
2016-02-28,432.47
2016-02-29,436.21
2016-03-01,434.04
2016-03-02,425.36
2016-03-03,419.56
2016-03-04,409.48
2016-03-05,399.0
2016-03-06,405.96
2016-03-07,414.87
2016-03-08,411.9
2016-03-09,412.76
2016-03-10,415.83
2016-03-11,419.11
2016-03-12,410.36
2016-03-13,412.41
2016-03-14,414.31
2016-03-15,415.13
2016-03-16,415.91
2016-03-17,418.16
2016-03-18,408.16
2016-03-19,408.69
2016-03-20,411.53
2016-03-21,411.11
2016-03-22,416.21
2016-03-23,416.98
2016-03-24,414.74
2016-03-25,415.71
2016-03-26,416.51
2016-03-27,424.57
2016-03-28,422.21
2016-03-29,415.0
2016-03-30,412.44
2016-03-31,415.66
2016-04-01,415.64
2016-04-02,418.51
2016-04-03,419.06
2016-04-04,419.33
2016-04-05,422.07
2016-04-06,421.26
2016-04-07,420.14
2016-04-08,417.69
2016-04-09,418.05
2016-04-10,420.25
2016-04-11,421.43
2016-04-12,424.74
2016-04-13,423.47
2016-04-14,424.02
2016-04-15,428.67
2016-04-16,430.05
2016-04-17,426.26
2016-04-18,427.69
2016-04-19,434.92
2016-04-20,441.16
2016-04-21,449.34
2016-04-22,445.28
2016-04-23,450.08
2016-04-24,457.56
2016-04-25,461.73
2016-04-26,466.0
2016-04-27,447.01
2016-04-28,448.48
2016-04-29,454.98
2016-04-30,448.53
2016-05-01,452.24
2016-05-02,444.18
2016-05-03,450.27
2016-05-04,445.8
2016-05-05,448.08
2016-05-06,459.56
2016-05-07,458.46
2016-05-08,457.87
2016-05-09,460.44
2016-05-10,449.36
2016-05-11,452.5
2016-05-12,454.43
2016-05-13,455.41
2016-05-14,456.44
2016-05-15,458.11
2016-05-16,454.87
2016-05-17,453.25
2016-05-18,454.22
2016-05-19,442.66
2016-05-20,442.11
2016-05-21,443.64
2016-05-22,439.62
2016-05-23,443.69
2016-05-24,446.11
2016-05-25,449.78
2016-05-26,453.3
2016-05-27,474.05
2016-05-28,524.22
